ChefID,RecipeID,Rating,DateReviewed
19,174,2,2024-07-04
19,170,4,2024-09-17
20,347,3,2024-07-29
20,298,4,2024-05-03
20,117,4,2024-05-13
20,593,4,2024-06-11
20,441,3,2024-06-25
20,474,2,2024-11-11
20,228,3,2024-04-03
21,421,4,2023-12-27
21,763,3,2024-09-19
21,779,5,2024-07-08
21,651,1,2024-08-16
22,258,1,2024-03-02
22,906,1,2023-12-27
22,399,3,2024-03-19
22,51,2,2024-11-19
23,344,4,2024-01-24
23,565,1,2024-07-02
23,220,3,2024-02-17
23,467,2,2024-09-23
23,452,2,2024-07-24
23,686,2,2024-04-28
23,429,4,2024-05-03
23,403,1,2024-01-23
24,444,4,2024-09-29
24,934,5,2024-02-20
24,311,5,2024-11-13
24,215,3,2024-04-08
24,850,3,2023-12-09
24,805,1,2024-12-02
24,743,5,2024-10-23
24,533,2,2024-01-02
24,546,1,2024-10-07
25,175,3,2024-09-18
25,293,3,2024-10-29
25,768,4,2024-04-19
25,541,3,2024-11-07
25,197,5,2024-02-13
26,8,5,2024-10-17
26,616,1,2023-12-05
26,612,2,2023-12-07
27,141,3,2024-04-17
27,619,3,2024-04-10
27,852,3,2024-08-04
27,121,1,2024-07-10
27,636,5,2023-12-26
27,421,3,2024-02-17
27,116,5,2024-01-25
27,517,1,2024-05-04
27,145,1,2024-04-05
28,228,2,2023-12-22
28,598,4,2024-06-07
28,391,1,2024-08-14
28,696,3,2024-02-17
28,904,3,2023-12-05
28,110,2,2024-03-16
28,518,3,2024-03-07
29,604,3,2024-04-21
29,19,3,2024-01-28
29,341,3,2024-05-21
30,703,5,2024-06-28
30,335,1,2024-08-28
30,237,5,2024-08-11
30,132,1,2024-01-02
31,742,4,2024-11-26
31,310,1,2024-07-04
32,883,2,2024-04-27
32,171,3,2024-08-29
32,153,5,2024-06-13
33,846,1,2024-07-17
33,26,4,2024-08-12
33,825,5,2024-05-14
33,728,5,2023-12-10
33,151,4,2024-07-06
34,615,2,2024-04-15
35,771,2,2024-09-23
35,505,5,2024-03-08
36,421,4,2024-01-05
36,828,4,2024-07-08
37,38,4,2024-06-24
37,682,2,2024-09-18
37,126,4,2024-05-15
37,408,4,2024-08-11
37,779,1,2024-11-10
38,59,3,2024-02-29
38,512,1,2024-10-11
38,397,1,2024-04-09
38,370,1,2024-04-07
38,868,3,2024-06-08
39,536,1,2024-05-21
39,178,2,2024-07-09
39,431,1,2024-02-28
39,887,4,2024-05-10
39,741,5,2024-02-04
39,145,2,2024-03-22
39,631,1,2024-11-13
40,728,4,2024-05-05
40,875,2,2024-01-12
40,816,3,2024-01-25
40,172,1,2024-01-29
41,262,2,2024-05-16
41,103,2,2024-06-26
41,793,4,2024-09-20
42,700,4,2024-09-26
42,757,1,2024-03-13
42,632,1,2024-09-23
42,225,1,2024-06-25
42,91,3,2024-04-03
42,58,4,2024-07-29
42,479,1,2024-10-12
42,105,4,2024-08-08
43,506,5,2024-08-10
43,366,3,2024-01-11
43,752,1,2024-01-27
43,590,2,2024-11-18
43,629,4,2024-02-18
43,305,5,2024-07-29
43,700,4,2024-08-03
43,719,3,2024-06-28
43,554,4,2024-05-03
43,749,1,2023-12-12
44,750,2,2024-02-01
45,888,5,2024-05-15
45,415,1,2024-01-25
45,281,1,2024-07-21
45,237,5,2024-04-23
45,69,4,2024-04-08
45,768,4,2024-01-16
46,304,5,2024-01-22
46,919,3,2024-03-27
46,273,5,2024-06-07
46,177,1,2024-09-19
46,755,3,2024-10-04
47,192,4,2024-03-25
47,710,3,2024-03-12
47,629,4,2024-08-31
47,840,1,2024-02-16
47,250,3,2024-06-28
47,34,2,2024-01-24
48,141,1,2024-07-29
48,8,4,2024-05-08
48,698,3,2024-01-05
48,814,5,2024-03-06
48,190,4,2024-08-09
48,669,2,2023-12-13
48,813,4,2024-06-12
49,152,2,2024-05-20
49,844,5,2024-10-16
49,138,5,2024-11-20
49,939,3,2024-03-26
49,840,5,2024-07-14
50,886,3,2024-03-04
50,375,1,2024-11-10
50,203,3,2024-10-08
50,306,2,2024-08-31
50,193,4,2024-01-10
51,845,5,2024-05-14
51,705,4,2024-02-08
51,576,1,2024-08-30
51,405,2,2024-07-13
51,524,3,2024-04-26
51,558,2,2024-02-12
52,4,1,2023-12-07
53,943,3,2024-07-02
53,895,3,2024-09-19
53,154,2,2024-01-23
53,934,2,2024-09-18
53,392,5,2024-05-17
53,931,1,2024-09-17
54,699,3,2024-10-30
54,706,1,2023-12-06
54,840,2,2024-08-30
54,776,2,2024-01-30
54,10,1,2024-01-08
54,929,5,2024-03-12
55,381,5,2024-11-16
55,703,4,2024-08-05
55,858,4,2024-08-16
55,601,4,2024-08-29
55,58,1,2024-09-15
55,255,5,2024-09-05
55,879,4,2024-06-14
55,435,5,2024-11-08
56,392,1,2024-06-14
56,381,1,2024-01-26
56,795,5,2024-07-04
56,776,1,2024-09-05
56,446,3,2024-05-18
56,838,3,2024-08-18
57,738,5,2024-07-01
57,809,4,2024-05-19
57,357,4,2024-08-05
57,935,5,2024-03-26
57,545,2,2024-11-17
58,340,3,2024-10-09
58,838,5,2024-08-24
58,56,1,2024-07-24
58,302,1,2024-06-12
58,484,4,2024-07-12
58,939,1,2024-01-18
58,876,2,2024-07-19
58,137,2,2024-09-10
58,413,1,2024-10-24
58,211,1,2024-01-16
59,488,3,2024-06-30
60,945,5,2024-06-29
60,326,5,2024-06-21
60,785,5,2024-03-29
60,694,2,2024-01-30
61,879,5,2024-09-09
61,95,3,2024-01-22
61,165,3,2024-01-24
61,48,4,2024-01-09
61,279,1,2024-09-15
62,688,1,2024-08-20
62,35,1,2024-04-05
62,649,4,2024-04-22
62,880,3,2024-07-02
62,612,5,2024-07-31
62,873,2,2024-05-15
62,412,3,2024-10-27
62,356,3,2024-08-15
63,593,1,2024-07-29
63,50,5,2023-12-15
63,900,3,2023-12-30
63,207,5,2024-03-27
63,897,3,2024-03-05
64,40,3,2024-11-17
64,731,2,2024-06-25
64,470,1,2024-10-05
64,507,4,2024-01-25
65,710,3,2024-09-03
65,534,1,2024-08-05
65,145,3,2024-09-05
65,795,2,2024-04-16
65,88,4,2024-06-17
65,215,2,2024-11-10
65,338,5,2024-10-23
65,692,1,2024-04-08
65,428,3,2024-04-11
66,537,1,2024-01-12
66,330,2,2024-11-02
66,434,1,2024-01-19
67,287,1,2024-04-26
67,151,2,2024-02-08
67,781,3,2024-09-25
67,936,4,2024-07-06
67,893,5,2024-02-14
67,349,2,2024-08-16
68,186,3,2024-10-29
68,14,3,2024-02-10
68,909,5,2024-01-16
68,80,2,2024-02-26
68,826,3,2024-11-21
69,929,3,2024-10-26
69,632,4,2024-01-06
69,233,5,2024-11-11
69,298,5,2024-09-02
69,706,2,2024-08-08
69,837,1,2024-09-26
69,894,2,2024-04-12
69,31,1,2024-04-16
69,449,1,2024-05-07
70,554,3,2024-10-11
70,344,1,2024-03-22
70,380,1,2024-01-04
70,468,5,2023-12-11
71,515,3,2024-05-25
71,440,5,2024-08-28
72,223,3,2024-06-08
72,412,2,2024-10-26
72,318,5,2024-05-30
72,254,1,2024-08-13
72,395,3,2024-10-26
72,429,2,2024-09-11
72,673,2,2024-01-17
73,232,1,2024-08-11
73,11,5,2024-07-09
73,293,5,2024-06-01
74,353,4,2024-11-28
74,696,2,2024-05-30
74,746,3,2024-05-15
74,681,5,2023-12-11
74,34,4,2023-12-18
74,413,3,2024-03-20
74,75,2,2023-12-31
74,291,1,2024-11-21
75,726,1,2024-04-19
75,382,2,2024-09-16
76,217,1,2024-05-30
76,258,5,2024-08-10
76,571,2,2024-03-11
76,450,3,2024-09-05
76,397,4,2024-01-06
77,111,4,2024-10-15
77,421,5,2024-04-22
78,869,2,2024-09-02
78,49,3,2024-11-08
78,50,4,2024-01-31
78,376,4,2024-10-11
79,455,2,2024-05-24
79,172,4,2024-05-09
79,482,2,2024-08-03
79,843,4,2024-01-16
79,197,2,2024-09-17
79,899,4,2024-10-10
79,276,2,2024-06-01
79,524,1,2023-12-11
79,406,3,2024-01-20
80,494,4,2024-11-20
80,754,1,2024-08-01
80,591,2,2024-05-27
80,184,5,2024-03-13
80,250,5,2024-02-13
81,726,5,2023-12-31
81,621,5,2024-01-06
82,936,1,2024-09-14
82,748,1,2024-04-13
82,405,3,2024-11-23
82,389,2,2024-05-01
82,338,2,2024-08-13
82,86,3,2024-08-25
82,599,3,2024-03-08
82,873,2,2024-01-30
82,833,2,2024-10-04
83,636,1,2024-08-20
83,915,3,2024-05-25
83,317,2,2024-07-09
83,172,4,2024-05-01
84,28,3,2023-12-13
84,317,5,2024-03-08
84,552,5,2024-02-13
84,668,2,2024-11-21
84,875,4,2024-11-28
85,817,1,2024-04-10
85,512,4,2024-04-25
85,743,1,2024-06-17
86,549,4,2024-07-05
86,294,4,2024-10-24
86,709,4,2024-05-06
86,215,3,2024-06-23
86,766,3,2024-05-17
86,635,5,2024-07-20
86,938,1,2024-07-31
87,514,3,2023-12-20
87,474,5,2024-06-17
87,730,4,2024-03-06
88,675,4,2024-04-06
88,40,4,2024-01-16
88,364,2,2024-02-10
88,663,4,2024-03-17
89,284,1,2024-10-15
89,449,1,2024-08-22
89,618,1,2024-03-24
89,137,3,2024-06-01
89,225,1,2024-07-12
89,579,1,2024-05-21
90,287,2,2024-02-29
90,412,3,2024-05-24
90,102,3,2024-03-30
90,846,3,2024-04-19
90,20,2,2024-10-22
90,100,2,2023-12-12
91,197,1,2024-11-25
91,138,5,2024-03-05
91,687,1,2024-01-18
91,757,1,2024-11-14
91,385,5,2024-09-20
92,914,3,2024-05-05
93,148,2,2024-01-13
93,379,3,2024-05-26
93,139,1,2024-07-29
93,222,1,2023-12-31
93,437,1,2024-09-05
93,213,3,2024-07-02
93,336,3,2024-07-25
94,563,1,2024-04-06
94,558,3,2024-07-10
94,371,3,2024-07-08
94,493,5,2024-11-02
94,759,4,2024-01-27
94,288,5,2024-07-26
94,190,5,2024-03-05
94,385,2,2024-05-05
94,881,5,2024-09-09
94,518,4,2024-09-23
95,161,4,2024-05-13
95,427,5,2024-06-13
96,785,2,2024-04-08
96,379,3,2024-09-28
96,713,4,2024-09-20
96,91,5,2024-11-21
96,482,2,2024-07-30
96,540,5,2024-02-25
97,361,5,2024-11-10
97,504,2,2024-10-22
97,566,2,2024-10-19
97,682,5,2024-07-17
97,252,3,2024-02-13
97,212,2,2024-09-10
98,759,4,2023-12-31
98,130,2,2024-11-26
98,539,1,2024-10-08
98,95,4,2024-06-22
98,685,4,2024-02-08
98,564,2,2024-11-08
98,884,3,2024-09-15
99,788,5,2024-06-15
100,136,1,2024-03-13
100,443,1,2024-01-18
100,184,1,2024-04-12
100,684,4,2023-12-16
101,284,2,2024-09-25
101,774,5,2024-07-20
101,922,2,2024-04-30
101,669,3,2024-05-28
101,637,5,2024-02-07
101,362,5,2024-08-27
101,178,2,2024-11-17
101,705,3,2024-02-19
101,815,1,2024-03-23
101,45,3,2024-03-30
102,506,4,2024-05-16
102,897,3,2024-10-14
102,108,2,2024-03-21
102,893,3,2024-02-22
102,385,4,2024-08-25
102,41,2,2024-03-16
102,824,3,2024-05-02
102,908,3,2024-07-21
103,630,5,2024-02-10
103,862,3,2024-09-26
103,131,1,2024-04-30
103,256,4,2023-12-29
103,705,1,2024-10-25
103,875,1,2024-04-15
103,531,2,2024-08-28
103,917,4,2023-12-31
104,28,2,2024-02-17
104,786,5,2024-07-30
104,125,1,2024-10-30
104,131,3,2023-12-19
104,866,4,2024-03-11
104,339,3,2024-09-25
104,51,3,2023-12-10
104,379,1,2024-06-12
104,368,4,2024-09-05
104,740,2,2024-01-03
105,856,5,2023-12-28
105,327,5,2024-03-19
105,593,5,2024-09-23
105,148,5,2024-08-23
105,272,3,2024-06-11
105,838,2,2023-12-28
106,860,2,2024-07-31
106,621,3,2024-09-13
106,438,2,2024-08-13
106,354,2,2024-06-03
106,14,3,2024-09-22
106,783,5,2024-06-15
106,470,3,2024-04-28
106,357,3,2024-10-14
106,158,1,2024-01-22
107,182,5,2024-09-18
107,366,1,2024-11-30
107,409,1,2024-04-06
107,190,3,2024-11-30
108,790,2,2024-08-28
109,298,2,2024-04-17
109,436,5,2024-01-30
109,32,2,2024-09-28
109,876,5,2023-12-21
109,187,4,2024-06-19
109,260,5,2024-05-31
110,787,1,2024-11-29
110,340,2,2024-07-05
110,116,1,2024-10-19
110,231,1,2024-01-06
110,261,2,2024-07-28
110,933,3,2024-04-04
110,464,5,2024-08-15
110,930,3,2024-01-06
110,576,2,2024-02-10
111,232,1,2024-03-31
111,515,5,2023-12-27
111,725,2,2024-08-11
111,578,4,2024-03-21
111,501,1,2024-01-08
111,407,3,2024-07-31
112,387,4,2024-10-26
112,471,1,2024-06-28
112,43,2,2024-05-05
112,555,3,2024-04-04
113,272,3,2024-10-04
113,495,3,2024-04-25
113,716,3,2024-02-25
113,281,1,2024-08-23
113,186,2,2024-02-03
113,538,1,2024-07-12
114,169,5,2024-10-03
114,307,4,2024-08-25
114,622,5,2024-05-12
114,370,1,2024-06-24
114,623,1,2023-12-17
115,378,3,2024-11-09
115,373,5,2023-12-13
115,876,1,2024-08-28
115,797,2,2024-09-26
115,126,3,2024-10-01
115,658,3,2024-03-26
115,810,1,2024-03-02
115,645,3,2024-02-26
116,602,2,2024-04-25
116,681,3,2024-11-15
116,415,2,2024-09-20
117,908,2,2024-10-31
118,703,3,2024-03-22
119,694,3,2023-12-22
119,605,5,2024-01-17
119,412,4,2024-10-14
119,36,3,2024-10-19
119,885,4,2024-10-11
119,551,2,2024-09-24
119,127,5,2024-11-11
119,309,4,2024-01-16
119,406,1,2024-04-19
120,445,1,2024-04-22
120,571,1,2024-04-27
120,205,5,2024-09-17
120,72,3,2024-09-25
120,45,2,2024-07-15
121,274,3,2024-04-07
121,414,5,2024-05-29
121,112,4,2024-09-17
121,412,2,2024-03-08
121,719,3,2024-10-25
122,196,3,2024-07-06
122,787,5,2024-11-26
122,555,4,2024-09-18
122,908,1,2024-04-14
122,595,3,2024-11-25
122,759,1,2024-01-25
122,273,2,2024-09-17
122,914,4,2024-06-04
123,502,2,2024-07-22
123,605,5,2024-09-19
123,339,4,2023-12-12
123,936,4,2024-06-05
124,107,4,2024-02-29
124,81,1,2024-12-02
125,296,1,2024-06-01
126,934,2,2024-04-17
126,405,4,2024-05-27
127,109,1,2024-04-18
127,31,5,2024-01-29
127,851,3,2024-03-01
128,632,1,2024-03-29
129,674,3,2024-09-04
129,466,3,2024-01-24
129,608,2,2024-09-03
129,929,1,2024-05-10
129,681,3,2024-01-10
130,567,1,2024-09-11
130,437,2,2024-02-25
130,486,4,2024-12-01
130,231,2,2024-07-17
130,476,3,2024-01-31
130,185,3,2024-02-20
131,847,1,2024-01-10
131,330,1,2023-12-13
132,283,4,2024-06-17
132,737,1,2024-07-11
132,97,4,2024-06-07
132,72,5,2024-04-18
132,55,1,2024-03-03
132,806,1,2024-10-06
132,306,5,2023-12-24
132,326,5,2024-04-30
132,86,3,2024-08-14
133,25,1,2024-08-23
133,208,2,2024-02-02
133,195,5,2024-01-22
133,761,2,2024-01-13
133,781,5,2024-04-26
133,818,1,2024-02-22
133,488,1,2024-07-29
133,158,2,2024-04-25
134,703,5,2024-07-24
134,116,2,2024-01-21
134,35,4,2024-08-04
134,17,4,2024-02-25
134,700,1,2024-08-16
134,616,2,2024-06-24
135,194,4,2024-05-12
135,811,3,2024-08-11
135,539,2,2024-02-15
135,44,2,2024-04-28
136,362,4,2024-06-11
136,469,4,2024-06-05
136,631,2,2024-10-28
136,431,5,2024-05-05
137,507,5,2024-05-17
137,172,3,2024-02-20
137,571,4,2024-01-11
137,684,1,2024-11-03
137,744,5,2024-07-10
137,641,4,2024-03-16
138,831,2,2023-12-30
138,389,4,2024-04-27
138,543,5,2024-06-13
138,842,1,2024-06-11
138,876,3,2024-04-12
139,309,3,2024-05-23
139,554,1,2024-03-11
140,204,1,2024-06-02
140,101,5,2024-04-17
140,470,2,2024-10-18
140,644,3,2024-06-25
141,474,4,2024-03-30
141,167,1,2024-04-07
142,605,1,2024-05-08
142,942,3,2024-07-07
142,339,5,2024-05-27
142,937,2,2024-06-02
142,182,5,2024-07-15
142,772,5,2024-06-05
143,314,2,2024-08-25
144,877,5,2024-05-06
144,447,2,2024-04-30
144,837,2,2024-11-23
145,610,2,2024-09-17
145,439,4,2024-04-28
145,253,1,2024-07-24
145,140,4,2024-05-03
146,635,5,2024-05-07
146,895,2,2024-08-25
146,191,2,2024-11-27
146,683,5,2024-03-18
147,573,3,2024-01-02
147,15,3,2024-01-07
147,253,3,2024-05-25
147,616,2,2024-02-21
147,773,2,2023-12-27
148,898,4,2024-08-02
148,202,2,2024-05-23
148,599,5,2024-07-27
148,104,3,2024-09-02
148,388,4,2024-07-24
148,21,5,2024-02-17
149,617,4,2024-08-14
149,517,4,2024-05-01
149,51,5,2024-09-03
149,308,3,2024-02-23
149,135,4,2024-03-06
149,623,3,2024-10-08
149,183,3,2024-02-03
149,660,4,2024-10-03
150,934,5,2024-10-25
150,815,5,2024-03-16
150,404,1,2024-06-20
150,37,4,2024-05-18
150,484,5,2024-03-10
150,931,5,2024-07-16
150,288,2,2024-04-13
151,949,1,2024-02-20
151,483,4,2024-04-15
151,22,4,2024-04-12
151,203,3,2024-08-18
151,542,5,2024-10-21
151,204,3,2024-04-05
151,323,3,2024-05-12
151,480,3,2024-02-22
151,16,1,2024-04-22
151,658,5,2024-07-14
152,285,4,2023-12-08
152,273,4,2024-05-08
152,874,3,2024-05-16
152,801,2,2024-06-05
152,772,3,2024-04-15
152,829,1,2024-09-19
152,605,3,2024-01-19
153,276,2,2024-06-26
153,506,1,2024-08-13
153,570,4,2024-04-06
153,738,3,2024-01-09
153,352,1,2024-10-13
153,936,1,2024-08-15
154,938,3,2023-12-12
154,114,1,2024-01-12
154,85,5,2024-05-14
155,222,2,2024-11-04
155,559,1,2024-11-07
155,556,5,2024-10-09
155,728,4,2024-11-27
155,242,1,2024-05-20
155,79,5,2024-09-27
156,692,4,2024-07-15
156,569,2,2024-02-18
157,859,3,2024-10-04
