,ChefID1,ChefID2,FriendsSince
152,16,44,2023-01-22
153,8,52,2023-06-17
154,79,94,2023-05-29
155,70,82,2023-12-09
156,10,70,2023-10-25
157,8,19,2023-07-23
158,50,67,2023-03-10
159,36,58,2023-10-19
160,37,86,2023-04-13
161,28,65,2023-02-20
162,62,65,2023-03-29
163,8,75,2023-06-14
164,35,55,2023-07-26
165,24,35,2023-05-30
166,0,78,2023-04-12
167,50,83,2023-07-07
168,11,15,2023-09-19
169,54,90,2023-03-08
170,11,69,2023-11-16
171,14,42,2023-02-14
172,33,78,2023-07-30
173,52,91,2023-06-04
174,15,54,2023-09-21
175,29,53,2023-01-10
176,6,21,2023-04-08
177,20,58,2023-03-14
178,10,86,2023-09-05
179,23,39,2023-04-14
180,13,29,2023-11-17
181,7,17,2023-04-21
182,44,67,2023-09-26
183,52,70,2023-03-31
184,5,55,2023-12-09
185,3,33,2023-05-28
186,15,93,2023-05-13
187,18,75,2023-04-19
188,64,69,2023-10-17
189,7,79,2023-04-04
190,68,86,2023-10-31
191,40,86,2023-12-06
192,58,71,2023-01-01
193,11,49,2023-09-19
194,56,85,2023-06-02
195,8,42,2023-08-17
196,11,66,2023-03-17
197,52,92,2023-11-30
198,21,58,2023-03-05
199,18,42,2023-01-19
200,67,77,2023-11-23
201,29,63,2023-10-24
202,15,84,2023-09-26
203,43,75,2023-02-21
204,13,88,2023-12-21
205,58,62,2023-08-25
206,57,91,2023-09-02
207,63,86,2023-07-11
208,54,83,2023-02-12
209,13,47,2023-05-20
210,18,76,2023-12-04
211,26,60,2023-06-26
212,22,49,2023-04-21
213,1,39,2023-02-13
214,33,58,2023-04-28
215,48,89,2023-10-29
216,22,88,2023-03-19
217,16,36,2023-09-04
218,25,66,2023-04-09
219,45,63,2023-09-23
220,82,92,2023-12-05
221,14,64,2023-04-11
222,4,46,2023-03-27
223,70,83,2023-05-11
224,45,51,2023-01-28
225,75,78,2023-04-11
226,72,88,2023-06-10
227,31,86,2023-11-24
228,28,68,2023-02-25
229,19,77,2023-05-19
230,42,67,2023-11-23
231,59,73,2023-08-03
232,12,79,2023-11-10
233,12,19,2023-01-23
234,39,74,2023-04-16
235,17,83,2023-09-24
236,6,34,2023-06-25
237,54,60,2023-12-14
238,35,48,2023-02-09
239,44,53,2023-01-19
240,35,77,2023-12-04
241,58,89,2023-11-20
242,35,79,2023-09-15
243,29,31,2023-04-18
244,7,57,2023-11-05
245,12,37,2023-02-14
246,44,76,2023-06-23
247,61,63,2023-09-18
248,32,47,2023-08-25
249,51,67,2023-06-30
250,4,69,2023-07-01
251,13,66,2023-09-17
252,4,29,2023-05-17
253,5,25,2023-11-26
254,18,72,2023-03-16
255,6,32,2023-07-01
256,19,33,2023-04-21
257,72,75,2023-06-02
258,44,52,2023-10-25
259,5,30,2023-11-13
260,25,27,2023-11-13
261,17,54,2023-07-14
262,18,20,2023-02-04
263,30,93,2023-05-19
264,23,24,2023-11-14
265,44,55,2023-07-10
266,2,63,2023-07-21
267,67,68,2023-12-17
268,5,11,2023-06-15
269,1,70,2023-04-28
270,60,65,2023-08-22
271,53,85,2023-11-03
272,7,89,2023-03-03
273,12,48,2023-05-01
274,10,18,2023-04-12
275,31,42,2023-08-09
276,0,24,2023-08-16
277,21,94,2023-09-27
278,25,89,2023-01-17
279,7,41,2023-04-02
280,16,88,2023-02-22
281,47,79,2023-09-28
282,42,53,2023-10-13
283,14,54,2023-12-24
284,29,68,2023-09-19
285,54,72,2023-10-31
286,1,54,2023-05-05
287,19,46,2023-05-25
288,60,62,2023-05-28
289,45,70,2023-10-24
290,21,23,2023-11-04
291,8,89,2023-09-07
292,14,35,2023-08-21
293,20,82,2023-12-29
294,55,62,2023-12-16
295,23,73,2023-11-28
296,9,31,2023-06-24
297,18,70,2023-04-22
298,37,81,2023-04-18
299,38,66,2023-06-19
300,72,80,2023-12-13
301,17,44,2023-04-07
302,85,90,2023-04-15
303,57,82,2023-12-02
304,17,80,2023-08-04
305,5,75,2023-10-14
306,71,79,2023-01-09
307,58,86,2023-04-14
308,15,29,2023-09-28
309,11,80,2023-07-21
310,35,66,2023-11-04
311,4,48,2023-03-04
312,11,45,2023-08-12
313,57,77,2023-11-18
314,57,60,2023-10-05
315,17,59,2023-04-22
316,4,67,2023-05-31
317,54,92,2023-05-17
318,9,57,2023-07-28
319,67,84,2023-01-11
320,33,36,2023-01-21
321,9,43,2023-03-18
322,77,82,2023-08-11
323,2,10,2023-06-12
324,22,54,2023-02-05
325,74,91,2023-12-07
326,17,76,2023-09-18
327,25,74,2023-10-24
328,1,76,2023-04-04
329,2,40,2023-06-27
330,22,25,2023-10-04
331,40,89,2023-03-09
332,37,75,2023-05-10
333,1,46,2023-04-24
334,27,33,2023-08-06
335,42,94,2023-08-08
336,30,51,2023-08-21
337,71,89,2023-02-17
338,6,56,2023-06-17
339,20,88,2023-09-19
340,1,21,2023-02-16
341,43,54,2023-07-06
342,83,90,2023-07-29
343,20,61,2023-03-29
344,71,76,2023-09-16
345,32,74,2023-05-08
346,2,75,2023-02-19
347,41,52,2023-10-22
348,4,54,2023-07-05
349,49,62,2023-06-19
350,48,80,2023-11-07
351,3,76,2023-11-14
352,28,79,2023-12-04
353,36,67,2023-08-06
354,54,89,2023-08-05
355,1,30,2023-04-06
356,40,68,2023-12-29
357,28,78,2023-12-18
358,70,71,2023-04-12
359,15,51,2023-02-19
360,73,74,2023-07-28
361,10,74,2023-10-31
362,51,87,2023-04-08
363,5,92,2023-08-18
364,59,74,2023-01-14
365,65,67,2023-02-19
366,26,61,2023-01-27
367,5,84,2023-06-04
368,7,85,2023-01-23
369,1,94,2023-08-07
370,1,73,2023-12-19
371,16,54,2023-02-19
372,15,64,2023-02-09
373,21,39,2023-09-21
374,48,70,2023-11-22
375,9,61,2023-07-02
376,9,25,2023-12-18
377,0,23,2023-05-18
378,12,71,2023-02-09
379,9,44,2023-01-08
380,18,85,2023-10-06
381,15,33,2023-07-21
382,63,71,2023-03-30
383,11,79,2023-12-15
384,32,82,2023-02-03
385,1,82,2023-06-23
386,2,31,2023-06-07
387,25,36,2023-10-21
388,47,87,2023-09-14
389,54,93,2023-09-26
390,34,38,2023-11-30
391,17,88,2023-01-02
392,1,8,2023-06-03
393,7,52,2023-01-28
394,9,30,2023-10-08
395,54,91,2023-07-10
396,26,37,2023-02-24
397,51,92,2023-10-18
398,34,86,2023-09-05
399,39,49,2023-09-06
400,7,34,2023-07-11
401,5,43,2023-09-23
402,16,39,2023-08-09
403,4,61,2023-05-03
404,14,75,2023-11-11
405,8,12,2023-12-27
406,63,79,2023-11-04
407,46,83,2023-10-05
408,14,37,2023-02-27
409,26,27,2023-06-16
410,79,80,2023-04-26
411,72,92,2023-03-17
412,7,32,2023-04-09
413,34,79,2023-11-21
414,39,40,2023-06-12
415,56,77,2023-01-13
416,68,76,2023-07-21
417,10,27,2023-06-21
418,22,72,2023-01-18
419,48,58,2023-08-15
420,16,73,2023-08-04
421,8,54,2023-02-05
422,44,82,2023-11-26
423,5,38,2023-03-15
424,51,62,2023-07-08
425,74,81,2023-10-28
426,57,78,2023-05-16
427,15,57,2023-03-17
428,6,79,2023-10-19
429,29,40,2023-07-02
430,39,44,2023-06-02
431,46,90,2023-10-08
432,9,59,2023-07-16
433,18,62,2023-12-20
434,67,75,2023-12-25
435,4,49,2023-12-03
436,29,51,2023-09-13
437,42,85,2023-06-18
438,53,77,2023-09-18
439,11,25,2023-05-21
440,57,90,2023-01-04
441,20,27,2023-08-29
442,78,88,2023-11-21
443,42,78,2023-02-03
444,14,91,2023-02-02
445,21,33,2023-12-20
446,58,91,2023-12-07
447,5,59,2023-01-31
448,33,73,2023-07-14
449,5,14,2023-02-16
450,4,90,2023-11-11
451,32,75,2023-11-30
452,29,46,2023-05-10
453,60,64,2023-08-08
454,22,58,2023-08-02
455,30,49,2023-10-31
456,78,79,2023-12-07
457,13,86,2023-01-20
458,34,48,2023-04-11
459,8,93,2023-05-01
460,77,91,2023-12-10
461,25,49,2023-04-11
462,48,60,2023-07-17
463,3,19,2023-11-25
464,10,51,2023-11-18
465,20,42,2023-02-02
466,10,19,2023-01-25
467,50,63,2023-07-01
468,45,68,2023-11-21
469,47,77,2023-12-01
470,51,85,2023-10-28
471,40,66,2023-04-10
472,55,70,2023-04-15
473,41,88,2023-06-19
474,20,93,2023-01-14
475,0,22,2023-07-12
476,30,43,2023-11-07
477,71,75,2023-10-22
478,25,54,2023-11-01
479,25,62,2023-11-09
480,21,90,2023-12-07
481,19,25,2023-10-14
482,14,77,2023-09-18
483,4,72,2023-07-31
484,15,90,2023-12-14
485,55,84,2023-12-28
486,30,90,2023-06-20
487,15,25,2023-12-29
488,25,58,2023-02-04
489,7,70,2023-02-05
490,16,68,2023-08-13
491,22,74,2023-11-14
492,62,92,2023-10-13
493,5,34,2023-01-03
494,2,88,2023-12-17
495,18,60,2023-08-31
496,41,43,2023-04-05
497,73,80,2023-02-11
498,8,91,2023-12-03
499,69,90,2023-02-17
500,47,62,2023-04-21
501,40,76,2023-08-20
502,45,67,2023-01-15
503,28,45,2023-07-10
504,14,21,2023-06-23
505,60,67,2023-07-12
506,11,58,2023-04-01
507,73,76,2023-12-07
508,62,85,2023-01-28
509,28,94,2023-05-08
510,42,86,2023-08-23
511,43,67,2023-06-13
512,62,63,2023-07-07
513,20,44,2023-12-29
514,33,93,2023-07-25
515,2,56,2023-10-16
516,64,84,2023-09-07
517,40,79,2023-05-04
518,3,83,2023-01-12
519,38,89,2023-02-17
520,42,55,2023-11-19
521,60,75,2023-12-23
522,18,33,2023-03-12
523,55,58,2023-07-12
524,84,86,2023-07-30
525,15,81,2023-11-23
526,63,82,2023-02-06
527,11,40,2023-11-29
528,37,41,2023-10-29
529,27,47,2023-10-05
530,43,60,2023-08-28
531,17,31,2023-01-16
532,26,32,2023-11-14
533,14,33,2023-05-09
534,13,77,2023-01-18
535,14,80,2023-08-13
536,47,57,2023-10-08
537,71,77,2023-02-22
538,1,84,2023-09-18
539,49,57,2023-10-13
540,21,47,2023-09-13
541,22,77,2023-04-11
542,10,30,2023-09-19
543,32,70,2023-06-01
544,78,84,2023-02-11
545,22,85,2023-09-04
546,59,77,2023-06-27
547,53,72,2023-06-16
548,29,56,2023-09-25
549,52,66,2023-02-15
550,0,82,2023-02-22
551,39,48,2023-05-20
552,21,86,2023-05-16
553,25,75,2023-04-29
554,5,66,2023-01-29
555,80,87,2023-12-31
556,25,73,2023-06-12
557,40,63,2023-11-05
558,12,78,2023-01-18
559,35,50,2023-02-03
560,26,74,2023-06-10
561,2,90,2023-08-15
562,19,45,2023-10-26
563,8,37,2023-03-31
564,6,81,2023-12-14
565,31,32,2023-02-03
566,0,2,2023-10-09
567,34,81,2023-11-08
568,45,59,2023-07-28
569,30,45,2023-01-21
570,54,85,2023-12-17
571,28,32,2023-07-30
572,1,81,2023-01-12
573,11,43,2023-07-25
574,8,83,2023-10-19
575,31,85,2023-11-14
576,6,49,2023-04-15
577,18,31,2023-07-14
578,7,73,2023-03-07
579,9,56,2023-08-09
580,71,83,2023-07-19
581,0,63,2023-10-25
582,23,84,2023-12-03
583,30,83,2023-12-16
584,53,94,2023-09-05
585,0,18,2023-04-29
586,67,88,2023-08-11
587,33,91,2023-03-28
588,29,32,2023-07-31
589,51,82,2023-05-16
590,0,55,2023-05-03
591,27,49,2023-06-05
592,28,31,2023-04-08
593,22,52,2023-12-27
594,24,78,2023-07-11
595,32,88,2023-11-15
596,21,26,2023-03-12
597,4,42,2023-03-26
598,7,20,2023-06-21
599,64,90,2023-08-14
600,27,34,2023-07-14
601,0,10,2023-10-20
602,10,82,2023-05-06
603,44,63,2023-02-16
604,3,94,2023-03-25
605,75,83,2023-06-18
606,54,68,2023-07-30
607,13,63,2023-09-11
608,52,73,2023-10-21
609,14,89,2023-04-30
610,24,51,2023-02-17
611,10,22,2023-12-14
612,11,46,2023-07-17
613,35,69,2023-02-13
614,13,30,2023-02-18
615,55,89,2023-12-07
616,23,40,2023-03-16
617,6,15,2023-02-13
618,37,93,2023-08-01
619,21,42,2023-11-28
620,13,93,2023-07-26
621,57,75,2023-02-22
622,39,58,2023-10-25
623,36,45,2023-01-23
624,68,85,2023-12-17
625,2,3,2023-08-03
626,24,25,2023-07-27
627,68,78,2023-12-05
628,21,76,2023-06-20
629,2,9,2023-10-15
630,64,74,2023-07-26
631,34,55,2023-02-20
632,18,86,2023-03-28
633,54,84,2023-05-23
634,27,81,2023-01-11
635,15,74,2023-07-22
636,18,24,2023-05-20
637,46,56,2023-08-04
638,59,64,2023-11-14
639,5,6,2023-05-25
640,48,76,2023-02-15
641,51,88,2023-08-03
642,47,88,2023-06-30
643,15,77,2023-12-08
644,1,32,2023-12-21
645,27,45,2023-10-09
646,59,91,2023-07-06
647,5,33,2023-01-13
648,71,91,2023-07-09
649,40,46,2023-11-25
650,58,90,2023-06-29
651,25,31,2023-03-11
652,8,9,2023-08-12
653,0,73,2023-10-08
654,56,90,2023-03-12
655,37,91,2023-10-24
656,6,16,2023-10-29
657,21,51,2023-04-02
658,15,38,2023-06-16
659,9,84,2023-08-01
660,11,83,2023-04-07
661,2,50,2023-10-16
662,41,48,2023-05-19
663,13,40,2023-01-23
664,79,93,2023-11-17
665,20,47,2023-02-03
666,30,36,2023-05-28
667,4,86,2023-12-08
668,31,66,2023-05-17
669,16,38,2023-05-30
670,33,55,2023-08-10
671,18,77,2023-06-12
672,23,53,2023-06-27
673,9,77,2023-04-15
674,15,50,2023-12-04
675,37,48,2023-04-23
676,53,68,2023-09-10
677,51,56,2023-09-21
678,7,55,2023-12-16
679,12,77,2023-01-03
680,49,91,2023-11-07
681,43,70,2023-08-01
682,8,68,2023-12-13
683,82,86,2023-07-30
684,41,61,2023-10-13
685,19,23,2023-11-27
686,19,22,2023-12-10
687,14,73,2023-02-10
688,8,72,2023-02-02
689,15,59,2023-04-06
690,63,93,2023-10-10
691,71,82,2023-08-30
692,16,33,2023-10-06
693,16,41,2023-05-30
694,33,89,2023-03-06
695,24,81,2023-06-16
696,36,71,2023-05-31
697,20,55,2023-05-21
698,3,64,2023-12-08
699,6,54,2023-12-17
700,6,28,2023-08-28
701,18,89,2023-10-09
702,29,82,2023-06-18
703,11,89,2023-12-30
704,33,65,2023-04-25
705,5,88,2023-11-12
706,39,84,2023-12-20
707,4,85,2023-07-20
708,7,58,2023-12-20
709,59,90,2023-02-21
710,44,77,2023-12-25
711,14,67,2023-11-22
712,0,19,2023-02-16
713,13,73,2023-08-27
714,52,85,2023-08-21
715,23,60,2023-12-18
716,36,60,2023-03-09
717,25,39,2023-02-21
718,19,41,2023-05-30
719,3,91,2023-06-11
720,4,47,2023-04-09
721,24,55,2023-11-24
722,12,56,2023-08-13
723,5,8,2023-07-22
724,81,82,2023-12-23
725,8,51,2023-11-23
726,66,89,2023-09-15
727,3,32,2023-03-17
728,3,6,2023-03-21
729,29,70,2023-12-08
730,20,33,2023-07-11
731,56,68,2023-09-07
732,40,48,2023-03-18
733,51,61,2023-08-13
734,20,66,2023-07-10
735,40,80,2023-06-03
736,40,92,2023-12-03
737,5,79,2023-01-23
738,4,81,2023-11-04
739,37,72,2023-02-07
740,8,15,2023-12-11
741,40,72,2023-04-17
742,12,35,2023-08-06
743,64,77,2023-06-18
744,74,80,2023-09-07
745,69,94,2023-11-11
746,19,64,2023-10-06
747,17,32,2023-04-18
748,10,90,2023-02-18
749,56,75,2023-02-19
750,34,71,2023-11-02
751,27,80,2023-01-15
752,3,22,2023-03-18
753,24,52,2023-07-28
754,59,76,2023-04-04
755,25,91,2023-10-05
756,53,75,2023-01-09
757,37,85,2023-04-08
758,40,65,2023-02-26
759,28,55,2023-03-05
760,54,80,2023-04-16
761,4,64,2023-02-21
762,31,90,2023-07-18
763,42,72,2023-07-02
764,86,92,2023-11-19
765,8,20,2023-02-07
766,35,51,2023-05-19
767,7,62,2023-01-01
768,13,59,2023-03-16
769,2,33,2023-08-14
770,29,59,2023-01-03
771,38,80,2023-05-18
772,25,46,2023-05-19
773,37,65,2023-03-17
774,13,75,2023-02-12
775,0,75,2023-06-27
776,80,93,2023-06-04
777,42,87,2023-03-10
778,51,55,2023-02-07
779,17,36,2023-12-16
780,33,80,2023-04-04
781,5,37,2023-12-02
782,9,15,2023-05-14
783,12,26,2023-07-18
784,11,90,2023-08-16
785,15,16,2023-02-26
786,25,32,2023-04-10
787,12,60,2023-09-25
788,37,77,2023-11-06
789,86,89,2023-12-03
790,70,94,2023-08-20
791,18,37,2023-07-06
792,6,83,2023-05-06
793,40,61,2023-10-14
794,24,79,2023-02-17
795,47,51,2023-01-21
796,39,79,2023-03-25
797,7,45,2023-03-01
798,83,85,2023-02-07
799,26,82,2023-12-25
800,64,85,2023-05-18
801,42,80,2023-05-10
802,20,29,2023-10-23
803,20,78,2023-06-05
804,6,63,2023-12-26
805,27,29,2023-06-29
806,42,91,2023-12-29
807,25,50,2023-09-19
808,6,67,2023-07-10
809,2,19,2023-05-03
810,35,74,2023-08-03
811,2,4,2023-05-18
812,27,88,2023-12-22
813,17,66,2023-06-05
814,29,88,2023-12-08
815,45,82,2023-06-21
816,55,63,2023-07-05
817,1,69,2023-09-10
818,2,70,2023-05-25
819,16,78,2023-07-23
820,62,86,2023-11-09
821,23,32,2023-08-07
822,63,83,2023-07-01
823,31,34,2023-06-15
824,30,34,2023-05-09
825,28,70,2023-11-21
826,21,79,2023-10-19
827,67,74,2023-12-28
828,46,65,2023-09-26
829,27,48,2023-01-28
830,34,62,2023-05-26
831,46,84,2023-07-24
832,11,87,2023-11-07
833,64,89,2023-07-20
834,15,18,2023-03-24
835,5,58,2023-09-08
836,20,31,2023-09-23
837,27,37,2023-05-31
838,31,59,2023-08-06
839,45,57,2023-02-01
840,27,94,2023-05-21
841,26,64,2023-07-10
842,28,81,2023-05-31
843,25,64,2023-05-21
844,9,85,2023-06-28
845,8,35,2023-01-09
846,28,43,2023-07-05
847,41,93,2023-02-06
848,57,84,2023-08-03
849,5,89,2023-03-25
850,24,89,2023-06-02
851,27,75,2023-11-27
852,71,87,2023-11-30
853,0,33,2023-04-20
854,21,29,2023-06-22
855,36,47,2023-10-15
856,59,84,2023-02-02
857,34,53,2023-12-10
858,15,46,2023-08-01
859,13,60,2023-11-03
860,31,39,2023-05-24
861,65,92,2023-08-22
862,3,56,2023-09-23
863,54,59,2023-01-15
864,36,87,2023-01-22
865,40,90,2023-03-16
866,75,93,2023-10-20
867,4,16,2023-12-10
868,7,82,2023-04-25
869,81,89,2023-10-19
870,55,68,2023-11-12
871,41,70,2023-12-27
872,10,93,2023-03-18
873,36,64,2023-10-29
874,36,92,2023-07-07
875,17,45,2023-04-17
876,4,15,2023-09-24
877,26,90,2023-04-28
878,45,52,2023-09-22
879,28,84,2023-04-29
880,40,62,2023-02-02
881,2,41,2023-06-23
882,0,41,2023-06-11
883,1,85,2023-09-16
884,25,88,2023-01-12
885,19,74,2023-08-21
886,0,7,2023-07-13
887,58,83,2023-05-19
888,0,14,2023-01-12
889,12,23,2023-05-20
890,4,94,2023-10-30
891,11,44,2023-12-10
892,55,83,2023-07-07
893,48,74,2023-11-29
894,64,67,2023-05-31
895,62,69,2023-11-29
896,56,74,2023-05-08
897,1,11,2023-12-07
898,62,93,2023-06-25
899,38,48,2023-07-23
900,2,42,2023-12-05
901,49,52,2023-12-05
902,39,69,2023-06-24
903,45,61,2023-10-27
904,55,94,2023-10-01
905,18,69,2023-08-21
906,49,55,2023-02-10
907,16,29,2023-01-14
908,62,89,2023-03-04
909,12,36,2023-01-26
910,9,11,2023-10-31
911,86,88,2023-11-18
912,38,72,2023-11-08
913,8,26,2023-06-30
914,27,89,2023-11-28
915,14,30,2023-12-31
916,40,57,2023-08-13
917,39,78,2023-04-11
918,61,94,2023-11-24
919,8,87,2023-08-17
920,4,52,2023-04-21
921,22,66,2023-05-22
922,72,89,2023-11-11
923,40,58,2023-02-24
924,22,91,2023-05-12
925,12,66,2023-05-10
926,2,52,2023-05-06
927,28,85,2023-11-13
928,8,18,2023-08-25
929,51,76,2023-01-15
930,57,87,2023-06-17
931,40,51,2023-11-08
932,9,16,2023-12-23
933,21,70,2023-08-24
934,21,37,2023-03-28
935,49,89,2023-05-17
936,37,84,2023-08-23
937,39,56,2023-03-15
938,33,63,2023-10-18
939,41,50,2023-04-24
940,32,79,2023-11-28
941,13,56,2023-09-07
942,2,24,2023-05-26
943,28,86,2023-06-24
944,4,9,2023-02-27
945,14,41,2023-08-16
946,4,68,2023-05-10
947,55,74,2023-05-10
948,14,40,2023-07-04
949,37,54,2023-01-05
950,30,69,2023-02-10
951,33,53,2023-06-24
952,10,14,2023-07-04
953,33,92,2023-08-04
954,19,32,2023-08-22
955,61,62,2023-05-03
956,2,11,2023-01-05
957,25,71,2023-10-10
958,27,62,2023-07-22
959,13,79,2023-04-01
960,67,93,2023-09-05
961,53,79,2023-08-11
962,45,85,2023-07-23
963,39,55,2023-07-18
964,35,63,2023-05-11
965,58,79,2023-10-02
966,13,85,2023-11-08
967,76,88,2023-08-17
968,52,81,2023-11-26
969,69,74,2023-10-14
970,17,46,2023-06-17
971,21,89,2023-10-15
972,39,43,2023-06-28
973,21,54,2023-06-09
974,31,45,2023-06-01
975,22,55,2023-07-08
976,59,67,2023-08-13
977,42,60,2023-12-28
978,9,93,2023-04-12
979,9,62,2023-05-11
980,14,45,2023-10-24
981,43,93,2023-01-21
982,1,22,2023-05-15
983,22,42,2023-12-16
984,1,15,2023-08-16
985,41,83,2023-10-15
986,78,92,2023-12-08
987,10,60,2023-08-26
988,10,81,2023-08-24
989,23,36,2023-07-06
990,5,51,2023-06-26
991,49,66,2023-09-01
992,8,59,2023-06-26
993,5,85,2023-04-20
994,57,94,2023-04-08
995,3,17,2023-10-26
996,12,73,2023-10-04
997,24,28,2023-06-07
998,17,75,2023-06-25
999,3,53,2023-01-15
